,Manufaturer,Sales,Year,Quarter,Index,Ratio
5972,    SAIC Motor Corp Ltd,,2010,Q2,0.189749334,0.189749334
5973,    Sanyang Motor Co Ltd,,2010,Q2,0.020226672,0.020226672
5974,    Sollers PJSC,,2010,Q2,,
5975,    Ssangyong Motor Co,,2010,Q2,,
5976,    Subaru Corp,,2010,Q2,0.492538864,0.492538864
5977,    Suzuki Motor Corp,,2010,Q2,0.879063125,0.879063125
5978,    Tata Motors Ltd,,2010,Q2,0.285489147,0.285489147
5979,    Tesla Inc,,2010,Q2,,
5980,    Tianjin Faw Xiali Automobile Co Ltd,,2010,Q2,0.041640924,0.041640924
5981,    Tofas Turk Otomobil Fabrikasi AS,,2010,Q2,0.575826952,0.575826952
5982,    Toyota Motor Corp,,2010,Q2,1.762230205,1.762230205
5983,    Volkswagen AG,,2010,Q2,7.91336151,7.91336151
5984,    AUDI AG,,2010,Q1,,
5985,    Avtovaz PJSC,,2010,Q1,,
5986,    Bayerische Motoren Werke AG,,2010,Q1,1.45343425,1.45343425
5987,    Brilliance China Automotive Holdings Ltd,,2010,Q1,,
5988,    BYD Co Ltd,,2010,Q1,,
5989,    Chongqing Changan Automobile Co Ltd,,2010,Q1,0.077313352,0.077313352
5990,    Daihatsu Motor Co Ltd,,2010,Q1,0.631666358,0.631666358
5991,    Daimler AG,,2010,Q1,-0.378690156,-0.378690156
5992,    Dongfeng Motor Group Co Ltd,,2010,Q1,,
5993,    DRB-Hicom Bhd,,2010,Q1,,
5994,    FAW CAR Co Ltd,,2010,Q1,0.187624746,0.187624746
5995,    Fiat Chrysler Automobiles NV,,2010,Q1,,
5996,    Ford Motor Co,,2010,Q1,1.015515,1.015515
5997,    Ford Otomotiv Sanayi AS,,2010,Q1,0.703048506,0.703048506
5998,    GAZ PJSC,,2010,Q1,,
5999,    Geely Automobile Holdings Ltd,,2010,Q1,,
6000,    General Motors Co,,2010,Q1,80.439818,80.439818
6001,    Great Wall Motor Co Ltd,,2010,Q1,,
6002,    Guangzhou Automobile Group Co Ltd,,2010,Q1,0.084562875,0.084562875
6003,    Honda Motor Co Ltd,,2010,Q1,1.610787127,1.610787127
6004,    Hyundai Motor Co,,2010,Q1,,
6005,    Kia Motors Corp,,2010,Q1,,
6006,    Mazda Motor Corp,,2010,Q1,-0.308477978,-0.308477978
6007,    Mitsubishi Motors Corp,,2010,Q1,-0.419021939,-0.419021939
6008,    Nissan Motor Co Ltd,,2010,Q1,0.208162721,0.208162721
6009,    Peugeot SA,,2010,Q1,,
6010,    Renault SA,,2010,Q1,,
6011,    SAIC Motor Corp Ltd,,2010,Q1,0.17002406,0.17002406
6012,    Sanyang Motor Co Ltd,,2010,Q1,0.014433143,0.014433143
6013,    Sollers PJSC,,2010,Q1,,
6014,    Ssangyong Motor Co,,2010,Q1,,
6015,    Subaru Corp,,2010,Q1,-0.044752152,-0.044752152
6016,    Suzuki Motor Corp,,2010,Q1,0.593735641,0.593735641
6017,    Tata Motors Ltd,,2010,Q1,0.103696466,0.103696466
6018,    Tesla Inc,,2010,Q1,,
6019,    Tianjin Faw Xiali Automobile Co Ltd,,2010,Q1,0.046525856,0.046525856
6020,    Tofas Turk Otomobil Fabrikasi AS,,2010,Q1,0.565692209,0.565692209
6021,    Toyota Motor Corp,,2010,Q1,0.821733343,0.821733343
6022,    Volkswagen AG,,2010,Q1,5.2634298,5.2634298
6023,    AUDI AG,,2009,Q4,,
6024,    Avtovaz PJSC,,2009,Q4,,
6025,    Bayerische Motoren Werke AG,,2009,Q4,0.429567377,0.429567377
6026,    Brilliance China Automotive Holdings Ltd,,2009,Q4,,
6027,    BYD Co Ltd,,2009,Q4,,
6028,    Chongqing Changan Automobile Co Ltd,,2009,Q4,0.050633054,0.050633054
6029,    Daihatsu Motor Co Ltd,,2009,Q4,0.543999158,0.543999158
6030,    Daimler AG,,2009,Q4,-3.000851453,-3.000851453
6031,    Dongfeng Motor Group Co Ltd,,2009,Q4,,
6032,    DRB-Hicom Bhd,,2009,Q4,,
6033,    FAW CAR Co Ltd,,2009,Q4,0.146871466,0.146871466
6034,    Fiat Chrysler Automobiles NV,,2009,Q4,,
6035,    Ford Motor Co,,2009,Q4,-0.196882,-0.196882
6036,    Ford Otomotiv Sanayi AS,,2009,Q4,0.615184675,0.615184675
6037,    GAZ PJSC,,2009,Q4,,
6038,    Geely Automobile Holdings Ltd,,2009,Q4,,
6039,    General Motors Co,,2009,Q4,69.988111,69.988111
6040,    Great Wall Motor Co Ltd,,2009,Q4,,
6041,    Guangzhou Automobile Group Co Ltd,,2009,Q4,0.058827133,0.058827133
6042,    Honda Motor Co Ltd,,2009,Q4,0.132055629,0.132055629
6043,    Hyundai Motor Co,,2009,Q4,,
6044,    Kia Motors Corp,,2009,Q4,,
6045,    Mazda Motor Corp,,2009,Q4,-3.997608281,-3.997608281
6046,    Mitsubishi Motors Corp,,2009,Q4,-1.136706411,-1.136706411
6047,    Nissan Motor Co Ltd,,2009,Q4,-0.564785684,-0.564785684
6048,    Peugeot SA,,2009,Q4,,
6049,    Renault SA,,2009,Q4,,
6050,    SAIC Motor Corp Ltd,,2009,Q4,0.132473577,0.132473577
6051,    Sanyang Motor Co Ltd,,2009,Q4,-0.002939607,-0.002939607
6052,    Sollers PJSC,,2009,Q4,,
6053,    Ssangyong Motor Co,,2009,Q4,,
6054,    Subaru Corp,,2009,Q4,-0.923425772,-0.923425772
6055,    Suzuki Motor Corp,,2009,Q4,0.594495701,0.594495701
6056,    Tata Motors Ltd,,2009,Q4,0.005443013,0.005443013
6057,    Tesla Inc,,2009,Q4,,
6058,    Tianjin Faw Xiali Automobile Co Ltd,,2009,Q4,0.01969853,0.01969853
6059,    Tofas Turk Otomobil Fabrikasi AS,,2009,Q4,0.442987742,0.442987742
6060,    Toyota Motor Corp,,2009,Q4,-1.755955774,-1.755955774
6061,    Volkswagen AG,,2009,Q4,4.642465788,4.642465788
6062,    AUDI AG,,2009,Q3,,
6063,    Avtovaz PJSC,,2009,Q3,,
6064,    Bayerische Motoren Werke AG,,2009,Q3,-1.398606949,-1.398606949
6065,    Brilliance China Automotive Holdings Ltd,,2009,Q3,,
6066,    BYD Co Ltd,,2009,Q3,,
6067,    Chongqing Changan Automobile Co Ltd,,2009,Q3,,
6068,    Daihatsu Motor Co Ltd,,2009,Q3,0.348991232,0.348991232
6069,    Daimler AG,,2009,Q3,-3.396631976,-3.396631976
6070,    Dongfeng Motor Group Co Ltd,,2009,Q3,,
6071,    DRB-Hicom Bhd,,2009,Q3,,
6072,    FAW CAR Co Ltd,,2009,Q3,,
6073,    Fiat Chrysler Automobiles NV,,2009,Q3,,
6074,    Ford Motor Co,,2009,Q3,-2.665379,-2.665379
6075,    Ford Otomotiv Sanayi AS,,2009,Q3,,
6076,    GAZ PJSC,,2009,Q3,,
6077,    Geely Automobile Holdings Ltd,,2009,Q3,,
6078,    General Motors Co,,2009,Q3,,
